WordCounter 1Nephi.txt
the => 1997
of => 1239
and => 1062
that => 696
I => 577
to => 543
And => 531
unto => 411
they => 368
it => 364
he => 316
in => 298
my => 277
which => 261
Lord => 247
did => 235
be => 235
came => 231
them => 210
pass => 210
a => 198
shall => 196
me => 178
for => 171
had => 170
all => 167
God => 162
were => 156
also => 151
things => 147
their => 146
we => 142
his => 139
not => 138
have => 137
was => 136
with => 129
father => 125
should => 123
are => 114
upon => 110
after => 108
our => 107
is => 106
him => 102
ye => 101
by => 92
said => 91
who => 90
yea => 89
beheld => 89
many => 87
behold => 87
from => 85
as => 85
these => 83
thou => 80
saw => 78
because => 78
us => 77
even => 77
Nephi => 74
into => 73
brethren => 73
spake => 72
hath => 72
will => 71
thy => 70
wilderness => 69
great => 69
forth => 69
land => 68
out => 66
Israel => 66
this => 61
wherefore => 60
people => 58
been => 57
Lamb => 57
words => 56
Gentiles => 56
know => 55
seed => 54
against => 54
come => 53
up => 52
earth => 52
house => 51
away => 51
saying => 49
Behold => 48
children => 46
according => 46
power => 45
concerning => 45
before => 45
again => 45
would => 44
plates => 44
make => 44
if => 44
angel => 44
time => 42
men => 41
down => 41
must => 40
do => 40
Laban => 40
go => 39
Jerusalem => 39
Wherefore => 38
thee => 37
might => 37
among => 37
exceedingly => 36
an => 36
spoken => 35
now => 34
Spirit => 34
at => 33
when => 32
hearts => 32
For => 32
other => 31
made => 31
commandments => 31
led => 30
commanded => 30
you => 29
tree => 29
those => 28
manner => 28
Yea => 28
written => 27
record => 27
much => 27
word => 26
so => 26
saith => 26
day => 26
but => 26
there => 25
or => 25
one => 25
days => 25
Laman => 25
Jews => 25
speak => 24
seen => 24
went => 23
waters => 23
more => 23
man => 23
insomuch => 23
hands => 23
fruit => 23
world => 22
way => 22
thing => 22
thereof => 22
take => 22
say => 22
prophet => 22
off => 22
nations => 22
mine => 22
give => 22
church => 22
began => 22
Lemuel => 22
together => 21
thus => 21
precious => 21
own => 21
like => 21
righteous => 20
perish => 20
no => 20
may => 20
fathers => 20
done => 20
being => 20
O => 20
Ishmael => 20
Holy => 20
whom => 19
mother => 19
knew => 19
hast => 19
brought => 19
But => 19
voice => 18
on => 18
looked => 18
twelve => 17
then => 17
space => 17
ship => 17
life => 17
face => 17
cast => 17
captivity => 17
brass => 17
am => 17
your => 16
work => 16
scattered => 16
save => 16
over => 16
murmur => 16
most => 16
has => 16
gathered => 16
destruction => 16
called => 16
above => 16
about => 16
Now => 16
shalt => 15
heard => 15
carried => 15
book => 15
account => 15
write => 14
wars => 14
tent => 14
sea => 14
obtain => 14
